invalid,name,category_l,category_view,category_s,category,lunch,walking,distance,url
,アンブロシア 恵比寿,欧米・各国料理,スペイン料理,スペイン料理,スペイン×イタリア料理,880,7,467.2611037,https://r.gnavi.co.jp/g382510/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,秋田純米酒処 恵比寿店,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),恵比寿フレンチ立ち飲み,1500,,467.0178872,https://r.gnavi.co.jp/nebz82fd0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,串焼 もんじろう 恵比寿店,居酒屋,居酒屋,居酒屋,高コスパ串焼き店！,680,7,467.2823486,https://r.gnavi.co.jp/mg9n8ru40000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,FRAGANTE HUMO ,欧米・各国料理,スペイン料理,スペイン料理,お洒落なスペイン食堂♪,1100,7,468.2021859,https://r.gnavi.co.jp/1ufpy4ws0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Trattoria Vivace 恵比寿,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),【コスパ抜群 個室】,1000,7,468.3764636,https://r.gnavi.co.jp/f72y686w0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,トラットリア サンタルチア,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),恵比寿イタリアン個室,1100,9,477.5075209,https://r.gnavi.co.jp/92k4k1mw0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
×,てけてけ 恵比寿東口店,居酒屋,居酒屋,居酒屋,焼き鳥 博多水炊き,740,,484.2730739,https://r.gnavi.co.jp/1jypae460000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,LE BISTRO,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),フレンチ ビストロ,1500,9,497.1028883,https://r.gnavi.co.jp/b696002/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,336ebisu（サンサンロクエビス）,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),カジュアルフレンチ,2000,9,496.1000122,https://r.gnavi.co.jp/pgcekhfx0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,レッドペッパー 恵比寿店,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),イタリアン,1000,7,492.2434388,https://r.gnavi.co.jp/g285002/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,QUNIOMI,イタリアン・フレンチ,フレンチ,フレンチ(フランス料理),フレンチ,-1,9,498.2111087,https://r.gnavi.co.jp/2rjs0un20000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,ヴィア ポカポカ,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),イタリアン,1000,9,499.5800538,https://r.gnavi.co.jp/gayf200/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,慈玄,ラーメン・麺料理,そば,そば,手打ち蕎麦・地酒・鴨鍋,1200,10,510.0603741,https://r.gnavi.co.jp/g399700/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,和牛と馬肉 恵比寿～たら福～,洋食,ビュッフェ,バイキング・ビュッフェ,肉寿司食べ放題/和牛,1000,10,503.8261636,https://r.gnavi.co.jp/a7yj3kgm0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
